ID,TimeStamp,CountryCode,TweetType,Size,LikeCount,RetweetCount
1130423435295907841,Mon May 20 11:42:03 WEST 2019,,isRetweet,142,0,9
1130422528630042624,Mon May 20 11:38:27 WEST 2019,,isRetweet,140,0,1
1130422054677819394,Mon May 20 11:36:34 WEST 2019,,isRetweet,140,0,19
1130422026836021249,Mon May 20 11:36:28 WEST 2019,,isRetweet,140,0,19
1130421415994372096,Mon May 20 11:34:02 WEST 2019,,isRetweet,140,0,14
1130421145721872384,Mon May 20 11:32:58 WEST 2019,,isRetweet,140,0,19
1130421049357721600,Mon May 20 11:32:35 WEST 2019,,isRetweet,140,0,19
1130419007285104640,Mon May 20 11:24:28 WEST 2019,,isRetweet,140,0,6
1130418012023132167,Mon May 20 11:20:30 WEST 2019,,isRetweet,140,0,14
1130417909296189440,Mon May 20 11:20:06 WEST 2019,,isRetweet,140,0,8
1130417410165608449,Mon May 20 11:18:07 WEST 2019,,isRetweet,140,0,1
1130417014319865856,Mon May 20 11:16:33 WEST 2019,,isRetweet,140,0,14
1130416880252964865,Mon May 20 11:16:01 WEST 2019,,isRetweet,139,0,2
1130415756410273794,Mon May 20 11:11:33 WEST 2019,,isRetweet,137,0,1
1130414512417452032,Mon May 20 11:06:36 WEST 2019,,isRetweet,139,0,2
1130411992794247168,Mon May 20 10:56:35 WEST 2019,,isRetweet,140,0,71
1130410860176924672,Mon May 20 10:52:05 WEST 2019,,isRetweet,140,0,14
1130410315261329408,Mon May 20 10:49:55 WEST 2019,,isRetweet,140,0,19
1130406945364561920,Mon May 20 10:36:32 WEST 2019,,isRetweet,140,0,2
1130406166113193984,Mon May 20 10:33:26 WEST 2019,,isRetweet,140,0,6
1130405952824332288,Mon May 20 10:32:35 WEST 2019,,isRetweet,140,0,50
1130405767864041472,Mon May 20 10:31:51 WEST 2019,,isRetweet,142,0,10
1130404632201764864,Mon May 20 10:27:20 WEST 2019,,isRetweet,140,0,1
1130404500588646400,Mon May 20 10:26:49 WEST 2019,,isRetweet,140,0,14
1130404417554059266,Mon May 20 10:26:29 WEST 2019,,isRetweet,140,0,6
1130374521679224833,Mon May 20 08:27:41 WEST 2019,,isRetweet,139,0,7
1130354490702487552,Mon May 20 07:08:06 WEST 2019,,isRetweet,139,0,1
1130338467748175872,Mon May 20 06:04:26 WEST 2019,,isRetweet,140,0,4
1130278748790693889,Mon May 20 02:07:07 WEST 2019,,isRetweet,140,0,11
1130272641074573313,Mon May 20 01:42:51 WEST 2019,,isRetweet,140,0,11
1130271120110825472,Mon May 20 01:36:49 WEST 2019,,isRetweet,140,0,11
1130269985362907141,Mon May 20 01:32:18 WEST 2019,,isRetweet,140,0,11
1130267313398095872,Mon May 20 01:21:41 WEST 2019,,isRetweet,140,0,4
1130257921214898176,Mon May 20 00:44:22 WEST 2019,,isRetweet,140,0,4
1130257581673525248,Mon May 20 00:43:01 WEST 2019,,isRetweet,140,0,4
1130257012883955712,Mon May 20 00:40:45 WEST 2019,,isRetweet,140,0,4
1130255478687182849,Mon May 20 00:34:39 WEST 2019,,isRetweet,140,0,6
1130254821938880512,Mon May 20 00:32:03 WEST 2019,,isRetweet,140,0,4
1130253746171203584,Mon May 20 00:27:46 WEST 2019,,isRetweet,140,0,6
1130244009748815873,Sun May 19 23:49:05 WEST 2019,,isRetweet,140,0,6
1130242652941762561,Sun May 19 23:43:42 WEST 2019,,isRetweet,140,0,6
1130219811080953864,Sun May 19 22:12:56 WEST 2019,,isRetweet,140,0,44
1130213227328135168,Sun May 19 21:46:46 WEST 2019,,isRetweet,140,0,4
