@relation NewRelation
@attribute P1min numeric
@attribute P2min numeric
@attribute P3min numeric
@attribute P4min numeric
@attribute P5min numeric
@attribute P6min numeric
@data
188,290,417,452,647,853
225,348,487,521,713,876
215,331,460,496,693,877
235,348,472,508,706,882
235,348,473,510,706,882
235,353,493,532,716,880
212,322,457,494,718,894
217,337,469,511,716,887
196,313,442,480,684,884
221,331,467,505,696,884
211,320,451,485,686,887
219,329,479,523,714,892
229,355,500,538,735,899
208,332,467,507,713,913
208,334,462,500,711,902
224,345,487,527,734,926
235,355,514,555,755,923
235,353,515,554,755,923
235,355,515,555,755,923
258,391,541,582,766,923
222,350,495,529,739,927
219,349,497,532,720,919
225,355,487,524,740,927
227,355,497,535,732,938
227,355,502,542,739,939
223,340,477,521,729,931
223,340,477,521,729,931
216,338,491,534,737,936
223,356,506,548,770,950
228,355,498,539,758,944
225,357,488,527,748,963
229,356,502,540,752,978
236,362,509,550,778,986
224,351,492,534,774,994
217,335,482,529,769,986
218,335,483,529,769,987
218,335,482,529,769,986
223,355,505,544,773,992
239,381,524,564,794,1008
238,371,518,563,794,1008
215,355,501,535,766,1002
255,389,541,582,779,973
243,364,501,546,810,1036
243,364,501,545,810,1036
243,364,501,546,810,1036
238,377,526,569,827,1035
238,377,526,571,827,1035
236,360,509,550,781,1002
216,355,519,565,827,1035
238,377,526,571,827,1034
234,367,509,546,781,1013
228,358,521,565,781,1027
245,377,527,570,804,1025
245,377,527,570,804,1025
241,378,533,576,810,1037
241,379,533,576,810,1038
203,306,437,479,690,946
254,397,551,599,876,1088
231,367,519,564,825,1047
255,397,569,615,858,1088
255,397,569,615,858,1088
261,404,567,615,865,1105
243,404,568,616,865,1106
261,401,578,635,852,1092
251,397,580,630,889,1108
241,402,584,628,878,1121
255,408,581,635,886,1144
255,415,571,617,889,1167
255,415,573,617,889,1167
235,362,516,563,826,1135
272,453,640,703,1001,1278
288,453,643,703,1001,1278
